author,published_at,updated_at,like_count,text
@welianeferreira5149,2024-05-26T02:27:53Z,2024-05-26T02:27:53Z,0,When we talk cerimony
@welianeferreira5149,2024-05-26T02:26:37Z,2024-05-26T02:26:37Z,0,Do Go. ate me e brother. Yes I do 👣
@welianeferreira5149,2024-05-26T02:25:46Z,2024-05-26T02:25:46Z,0,Everytime about Channel problem
@welianeferreira5149,2024-05-26T02:25:17Z,2024-05-26T02:25:17Z,0,Hey joe . Sorry what happen
@Lanos666,2024-05-26T01:43:55Z,2024-05-26T01:47:07Z,0,"I am here for the comments lol 😂, looking for a positive comment but unable to find one."
@DustyNickelz,2024-05-26T01:32:24Z,2024-05-26T01:32:24Z,0,There were about 15 cut takes in the 15 second video.
@upgrade6678,2024-05-26T01:21:50Z,2024-05-26T01:21:50Z,0,Bro has turned Asian
@chipdouglaschipdouglas,2024-05-26T01:12:28Z,2024-05-26T01:12:28Z,1,“Repeat the line” “Pause”
@chipdouglaschipdouglas,2024-05-26T01:05:05Z,2024-05-26T01:05:05Z,1,🤡🤡🤡🤡🤡🤡🤡😂😂
@BRICKHOUSE-NNBDGP,2024-05-26T00:21:03Z,2024-05-26T00:21:03Z,1,Go away you and kamala
@BRICKHOUSE-NNBDGP,2024-05-26T00:20:24Z,2024-05-26T00:20:24Z,1,Delusional
@Adderallistheonlyway,2024-05-25T23:50:57Z,2024-05-25T23:50:57Z,1,Biden couldn&#39;t win a debate against a block of wood.
@captfcknut,2024-05-25T23:41:19Z,2024-05-25T23:41:19Z,1,Whaaaaaatttt ?????<br>Joes lost it!
@NolanRoberts-he6sb,2024-05-25T23:21:26Z,2024-05-25T23:21:26Z,3,You’re the reason some people are struggling in the world and my family is included so stop acting like your the best when you one of the worst
@GreyWind1988,2024-05-25T22:58:35Z,2024-05-25T22:58:35Z,3,You needed 5 jump cuts for a 15 second ad ... woof
@maxbenti320,2024-05-25T22:57:06Z,2024-05-25T22:57:06Z,1,😂😂😂
@lukasmiller486,2024-05-25T22:31:28Z,2024-05-25T22:31:28Z,2,Can’t stand either of them.
@mocmocgueye8720,2024-05-25T22:28:31Z,2024-05-25T22:28:31Z,1,Thanks for the subtitles.
@welianeferreira5149,2024-05-25T22:02:17Z,2024-05-25T22:02:17Z,1,🤦
@welianeferreira5149,2024-05-25T22:01:21Z,2024-05-25T22:01:21Z,0,Hey joe Me here ok. e so problem still
@GeraldoA-jc5nl,2024-05-25T21:40:00Z,2024-05-25T21:40:00Z,2,who is joe biden?
@michaelwheat759,2024-05-25T21:34:52Z,2024-05-25T21:34:52Z,1,Biden isn’t going to even do one. Trump would eat his lunch. Even the teleprompter couldn’t save him. We’ve all seen that firsthand 😆😆
@itsawackyworld8717,2024-05-25T21:13:36Z,2024-05-25T21:13:36Z,2,Biden we Hate you! -From America
@SKIBIDIBIDEN,2024-05-25T20:44:29Z,2024-05-25T20:44:29Z,0,Skibidi biden
@nicolasjlorenzo,2024-05-25T20:20:01Z,2024-05-25T20:20:01Z,1,Who told you you won? cnn?
@heathreeves6327,2024-05-25T20:15:24Z,2024-05-25T20:15:24Z,1,Joe Biden is fescies on a stick. Trump 2024
@welianeferreira5149,2024-05-25T20:10:24Z,2024-05-25T20:10:24Z,1,Shower now 5:10 pm
@welianeferreira5149,2024-05-25T20:04:58Z,2024-05-25T20:04:58Z,0,Vallue chips 10.00 R$
@welianeferreira5149,2024-05-25T20:03:34Z,2024-05-25T20:03:34Z,0,In my eye
