,author,published_at,updated_at,like_count,text,sentimiento
1746,@TheMrZombified,2024-05-15T12:34:56Z,2024-05-15T12:34:56Z,21,"I wonder if that woke up Dozing Donny, ah, probably not. 🤣",0.0
1747,@checkmate3361,2024-05-15T12:34:14Z,2024-05-15T12:34:14Z,0,YES!!!🥳🥳🥳 We Know What To Do Boss…💪🏼💥💥💥,0.0
1748,@SeekSomethingMore,2024-05-15T12:34:08Z,2024-05-15T12:34:08Z,1,"Debate RFK, coward.",-0.4588
1749,@user-lr6ex3rf4g,2024-05-15T12:33:54Z,2024-05-15T12:33:54Z,5,Джозеф 😎✌🙏✊🇺🇸 2024✌😎,0.0
1750,@efreckle,2024-05-15T12:32:55Z,2024-05-15T12:32:55Z,4,"It looks like the FEDs went nuts posting all these fake comments, you guys aren’t that smart.",-0.0516
1751,@onetrickgirl,2024-05-15T12:32:19Z,2024-05-15T12:32:19Z,0,Cool. Still not gonna vote for you but it&#39;s great you can win a debate against a sentient trash can.,0.926
1752,@michaelr3572,2024-05-15T12:31:29Z,2024-05-15T12:31:29Z,11,"First debate question, what was the inflation rate the day Joe Biden was sworn in?",0.0
1753,@Sok4748,2024-05-15T12:31:27Z,2024-05-15T12:31:27Z,1,You go Joe!!!,0.0
1754,@glennbailey5467,2024-05-15T12:31:22Z,2024-05-15T12:31:22Z,7,They only problem as joe is only going to debate for about two minutes,-0.4019
1755,@krissiekochanski6381,2024-05-15T12:30:58Z,2024-05-15T12:30:58Z,5,💙,0.0
1756,@Mystic-WTF,2024-05-15T12:30:15Z,2024-05-15T12:30:15Z,3,🤣✌️👍💙⚖️🌹,0.0
1757,@docmccoy95,2024-05-15T12:29:54Z,2024-05-15T12:29:54Z,4,"No, you won&#39;t Joe because tRUMP will be a no show.",-0.5267
1758,@farrider3339,2024-05-15T12:29:28Z,2024-05-15T12:29:28Z,11,"Yes Trumpy , make a date as long as you&#39;re still free 😂",0.7184
1759,@IseeU588,2024-05-15T12:27:38Z,2024-05-15T12:27:38Z,1,Trust me all. I will predict (15.05.2024) <br>Joe Biden will say something negativ to the Ukraine situation <br>AND the whole Ukraine front will collapse.,0.0258
1760,@casparnigell5510,2024-05-15T12:27:37Z,2024-05-15T12:27:37Z,1,"With Trump it&#39;s not a debate. It&#39;s a chaotic shouting match to see who can be the rudest, craziest, most undisciplined and rude person. If I were Biden I&#39;d skip &quot;debating&quot; depraved Trump. Trump can go to the zoo or circus and have all the fun he wants there. 🤡🤡🤡🤡🤡🤡",-0.2583
1761,@DJBartlett66,2024-05-15T12:27:16Z,2024-05-15T12:27:16Z,11,Get’em Joe! 💙🧢💙🧢💙🧢,0.0
1762,@jackiehathaway793,2024-05-15T12:27:07Z,2024-05-15T12:27:07Z,0,💙💙💙💙💙💙🙌🙌🙌👏👏👏🇺🇸🌊🌊🌊🌊🌊🌊🌊🙋🏿🙋🏻🙋🏼‍♂️🙋🏾🙋‍♀️🙋🏼‍♀️🙋🏿‍♂️🙋🙋🏻‍♀️,0.0
1763,@Milana_I,2024-05-15T12:26:57Z,2024-05-15T12:26:57Z,0,Joe Biden is the only one who can save democracy at the moment 👍👍👍,0.4939
1764,@AccelerateYourSuccess,2024-05-15T12:26:21Z,2024-05-15T12:26:21Z,1,That&#39;s a mistake. trump tried to give President Biden covid last time.,-0.34
1765,@Ebbrush3,2024-05-15T12:25:51Z,2024-05-15T12:25:51Z,2,"your free on wed , ohh snap!!",0.5972
1766,@trinidad8637,2024-05-15T12:25:08Z,2024-05-15T12:25:08Z,1,🇺🇸💙,0.0
1767,@EvolutionWendy,2024-05-15T12:24:54Z,2024-05-15T12:24:54Z,1,Joe Biden is so quick he’ll be able to box The Ex into a corner!! Remember Biden @ the state of the union address!!!!!,0.0
