author,published_at,updated_at,like_count,text
@michaeloflaherty7189,2024-05-27T16:04:12Z,2024-05-27T16:04:12Z,0,"Now you know without question why I left the gop.  Call that party the dmoa, delusional morons of America. <br><br>I was THERE YOU LYING MORONS!   No one was cheering the trump! No one! A band was introduced- no one even noticed a plane above! <br><br><br>He showed up outside the stadium- as fans cheered the event - waves and you make it sound like it was for him with you CRAPPY LYING FAKE NEWS!<br><br>What you failed to realize - GROWN UPS - RESPONSIBLE GROWN UPS EXPECT REAL NEWS COVERAGE!  But you cater to BOTTOM FEEDERS! You had a chance to become a real news station- but you chose HATE AND LIES! You should be held accountable for Jan 6. <br><br><br>Everyone at this station they are against our democracy.<br><br>What can’t anyone fired from this network find jobs?!<br><br><br>Lame"
@ericbennett-wu4zx,2024-05-27T16:03:30Z,2024-05-27T16:03:30Z,0,Maybe??? Speak louder? With the mic BY YOUr MOUTH?
@stephaniegreisen9176,2024-05-27T16:01:31Z,2024-05-27T16:01:31Z,0,😂😂😂😂😂😂😂😂😂😂😂 liars
@chrisd_man2156,2024-05-27T15:59:55Z,2024-05-27T15:59:55Z,0,"Try and remember 54% of people who have an address and can vote, DO NOT WORK,.......<br>Try and remember that dillary and President Trump lost by less than 0.02% of the vote.<br><br>15 MILLION ILLEAGLES ARE MORE THAN ENOUGH TO KEEPJOE AND KAMAL IN OFFICE. <br><br>GET READY TO ALL HAIL KAMAL, AS YOUR NEXT DICTATOR!"
@_Captain_Benji_,2024-05-27T15:59:46Z,2024-05-27T15:59:46Z,0,Can’t believe they put her next to the track. Absolute boneheaded move.
@SDog6137,2024-05-27T15:57:55Z,2024-05-27T15:57:55Z,0,BS!!!.... Plain and simple nonsense... The announcer inside was talking to the race car drivers about what was going to be going on during the race it had nothing whatsoever to do with that phony Donald Trump standing outside pretending the cheering was 4 him. In Fox News should be Sued to the hilt for all the bull crap that they&#39;ve fed to the Public.
@bearing_aficionado,2024-05-27T15:54:20Z,2024-05-27T15:54:20Z,0,Why in the blue hell would he go there when the Indy 500 was going on and is a much bigger event.  He would have gotten a much bigger response in Indy.
@StagvanHeuten,2024-05-27T15:53:17Z,2024-05-27T15:53:17Z,0,Dishonest - footage is fake. We saw him faking it already! What a worthless channel spreading lies.
@thegonz7833,2024-05-27T15:52:11Z,2024-05-27T15:52:11Z,0,Fox does things as if they just started. Gooooo Trump!
@FERNANDOAMENDIVIL,2024-05-27T15:51:30Z,2024-05-27T15:51:56Z,1,“THE GREATEST MOST POPULAR &amp; POWERFULL MAN IN AMERICA. “<br>“WE THE PEOPLE HAVE NEVER &amp; WILL NEVER ACCEPT or ACKNOWLEDGE “THE GODless-$W💩MP PRE$$ident AS OURS … PERIOD.”<br>“GOD’S TOUCHABLE WILL CONTINUE TO decline UNTIL HIS LAST GASP. <br>👏🏻👏🏻👏🏻👏🏻👏🏻<br>~  ByeD👋🏻NE ~
